Flood?,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Avg Temp
0,83,0.5,5.6,3.738297872,30.3
1,86,0.3,5.5,4.272340426,29.9
0,85,0.5,5.4,4.823404255,29.65
0,82,0.3,3.2,7,28.95
0,75,0.2,1.2,7.85106383,25.55
0,82,0.2,0.2,7.725531915,19.6
0,74,0.3,0.5,7.831914894,19.95
0,70,0.2,2.1,8.314893617,23.9
0,58,0.2,0.6,8.131914894,28.55
0,72,1.6,2.7,8.219148936,30.6
0,75,1.4,4.4,7.046808511,30.25
1,84,1.4,6.5,4.072340426,30.25
1,84,1.2,5.7,3.738297872,30.5
0,87,0.9,5.8,4.272340426,30.9
1,85,1.5,5.4,4.823404255,30.05
0,82,0.6,3.7,7,28.5
0,75,0.1,0.6,7.85106383,24.7
0,71,0.2,0.8,7.725531915,21.1
0,67,0.2,0.5,7.831914894,19.95
0,65,0.2,0.9,8.314893617,25
0,61,0.6,1.4,8.131914894,28.4
0,72,0.9,3.5,8.219148936,29.4
0,87,0.9,4.7,7.046808511,29.75
0,88,1.1,5.7,4.072340426,30.55
1,87,0.7,5.6,3.738297872,29.45
0,87,0.7,5.5,4.272340426,31.05
0,86,0.6,4.6,4.823404255,30.25
1,86,0.5,3.4,7,29
0,78,0.2,1,7.85106383,25.05
0,77,0.1,0.6,7.725531915,22.35
0,77,0.4,0.9,7.831914894,19.45
0,75,0.8,1.9,8.314893617,22.9
0,73,1.2,2.2,8.131914894,26.75
0,78,2.1,4.2,8.219148936,28.95
0,81,1.6,4,7.046808511,29.3
0,87,2.8,6.3,4.072340426,29.3
1,88,1.9,7.2,3.738297872,28.4
0,88,2,6.9,4.272340426,28.55
0,87,1,6.5,4.823404255,29
0,85,0.9,5.5,7,27.9
0,80,0.5,2.6,7.85106383,24.75
0,63,0.2,1.3,7.725531915,20.75
0,80,0.1,1.5,7.831914894,19.45
0,76,0.5,1.8,8.314893617,22.85
0,74,0.5,2.4,8.131914894,26.75
0,79,1.2,5.1,8.219148936,28.95
0,81,1.3,4.6,7.046808511,29.3
1,87,1.8,7.1,4.072340426,29.3
0,89,2.2,7,3.738297872,28.4
0,89,1.3,7,4.272340426,28.55
0,88,1,6.4,4.823404255,29
0,85,0.4,5,7,27.9
0,80,0.2,1.9,7.85106383,24.75
0,81,0.6,3.3,7.725531915,20.75
0,82,0.5,2.7,7.831914894,19.45
0,77,0.4,0.5,8.314893617,22.85
0,77,1.1,3.2,8.131914894,26.75
0,80,2,4.5,8.219148936,28.95
0,79,1.6,3.9,7.046808511,29.3
1,88,1.9,5.6,4.072340426,29.3
0,87,1.5,7.2,3.738297872,28.4
1,90,1.2,7.8,4.272340426,28.55
0,88,1.5,6.8,4.823404255,29.2
0,87,0.5,3.6,7,27.9
0,82,0.2,2.9,7.85106383,24.75
0,82,0.3,2.1,7.725531915,20.75
0,78,0.4,2.7,8.1,19.45
0,75,0.7,0.7,8.1,24.7
0,76,1.2,3.3,7.5,26.2
0,74,1.6,2.9,7.8,29.95
0,80,2,4.3,7.3,30.55
0,88,1.9,5.7,5.2,30.1
0,91,1.5,6.6,4.1,28.6
0,90,1.8,6.5,4.1,29.2
1,90,1.5,6,3.6,29.35
0,83,0.6,2.7,7.2,27.75
0,77,0.3,1,8.7,22.35
0,75,0.4,1.6,8.1,20.6
0,75,0.6,0.9,8,20.55
0,73,0.7,1.9,8.1,23.05
0,69,1.1,2.8,7.2,28
0,77,1.8,4.1,7.8,29.65
0,79,2.3,5.9,7.7,31.25
1,90,1.2,7.1,2.3,28.6
1,89,1.8,7,3.6,30.35
1,89,1.1,6.8,2.7,30.8
0,86,1,6.1,5.3,31.75
0,86,0.6,4.9,7.2,29.05
0,80,0.3,3.2,7.9,24.45
0,78,0.6,1.3,6.2,20.95
0,74,0.6,1,8.3,19.25
0,69,0.7,1.4,8.5,24.55
0,77,1.2,3.6,7.8,27.95
0,77,1.8,3.9,7.6,29.95
0,77,0.9,4.7,7.8,30.45
0,89,1.3,7.1,2.9,29.7
1,91,1.5,6.9,4,28.7
1,91,1.2,7,2.8,29.3
1,87,1.3,5.6,5.9,30.15
0,84,0.4,3.7,8.7,28.75
0,80,0.3,1.9,9,25.5
0,78,0.5,1.6,9.2,20.5
0,78,0.5,2.1,8.7,19.15
0,74,0.6,2.1,8.9,23.45
0,74,1.7,3.1,8.4,28.25
0,80,2,3.6,8.6,29.65
0,80,2.3,5.2,8,30.9
1,89,2.3,6.7,3.9,29.65
1,90,1.8,6.7,3.4,30.05
0,88,1.3,6.3,5.2,29.6
1,89,1.2,5.7,5.1,29.25
0,87,1.5,4.2,7.4,28.55
0,80,0.8,2.6,8.5,24.85
0,76,0.5,0.2,9.8,19.7
0,77,0.4,1.9,8.6,20.55
0,75,0.6,1.7,8.4,23.05
0,73,0.9,1.2,8.8,26.7
0,78,1.4,4.6,8.3,28.85
0,81,1.5,5,7.1,29.6
1,87,3.1,6.9,4.1,29.1
0,88,3.1,7.1,3.7,29.25
1,88,1.7,6.8,4.3,28.3
1,87,1.8,5.7,4.9,29.7
0,85,1.3,5.3,7.2,28.95
0,80,1,2.3,9.3,23.9
0,63,0.9,1.7,9.2,21
0,77,0.5,0.7,10.1,20.2
0,74,1.1,1.8,9.6,22.35
0,72,1.3,2.2,10.2,27.7
0,77,2,4.1,10.5,30.45
0,81,2.8,4.3,8.9,31.1
0,85,1.8,5.9,6.3,31.25
0,88,1.7,6.4,4.8,30.65
1,90,1.6,6.7,4.4,29.25
0,84,0.6,5.2,8.1,30.35
0,84,0.3,3,8.8,28.6
0,78,0.3,2.3,9.6,25.5
0,77,0.5,0.8,10.2,22.25
0,73,0.5,0.4,9.9,22.15
0,72,1.1,1.9,9.7,24.9
0,74,0.7,1.7,9.4,27.75
0,79,2.6,3.7,9.6,30.6
1,86,1.7,5.3,6.7,29.4
1,88,1.3,6.3,4.5,29.8
1,90,2.4,6.4,5.6,29.25
1,91,1.7,6.8,5.3,29.1
1,91,0.9,6.3,3.9,30.5
1,86,0.7,4.1,6.8,28.85
0,87,0.9,3.2,7.4,24.9
0,82,0.7,1.5,9.7,20.35
0,77,0.3,0.3,10.3,19.45
0,70,0.7,0.4,10.8,24.15
0,77,1.5,2.8,8.7,28.3
0,82,2.2,4,10.3,29.2
0,82,2.3,4.6,7.6,29.95
1,88,1.7,6.6,5,29.85
1,93,1.5,7.3,2.5,28.85
0,93,1.9,6.4,4.4,29.35
1,89,1,5.4,4.6,28.85
0,87,0.4,4,7.7,30
0,83,0.6,2.9,7.8,26.35
0,78,0.4,0.1,10.4,19.8
0,77,0.6,0.7,10.2,19.35
0,75,0.6,1,10.1,23.4
0,73,1,2.4,10.5,26.75
0,78,1.6,3.7,9.9,28.95
0,81,1.8,4.1,8.2,29.7
1,87,1.2,5.2,5.8,29.7
1,88,1.6,6.4,3.7,28.4
1,88,1.5,6.6,6,30.25
0,87,0.8,5.6,5.1,29
0,85,0.1,4.4,6,27.95
0,80,0.4,2.7,7.7,23.95
0,63,0.2,0.2,8.1,19.1
0,77,0.2,0.3,8.1,21.4
0,79,0.5,1.4,8.4,23.65
0,78,1.3,1.6,8.2,28.55
0,77,1.8,3.1,8.3,30.55
0,83,1.2,4.8,8.7,30.65
1,87,1.2,6.6,4.3,29.45
1,89,1.6,6.8,4.6,28.9
1,90,1.1,6.7,4,29.25
0,87,1.2,5.2,4.9,28.95
0,84,0.5,2.6,7.2,28.5
0,83,0.3,2.2,7.9,26.55
0,76,0.3,0.6,8.1,20.95
0,75,0.4,0.6,9.3,19.7
0,74,0.7,1.4,9.3,22.45
0,75,1.3,1.9,8.3,28.1
1,83,2.3,5,6.9,29.2
0,84,1.7,5.1,4.3,29.05
1,89,1.7,6.2,3.4,30
1,90,1.4,6.3,3.6,29.6
0,88,1.3,6.2,5.2,29.75
0,87,0.8,4.9,4.7,30.3
0,84,0.3,3.1,8.3,28.15
0,82,0.2,2.8,8.2,25.8
0,77,0.2,1,8.3,21.55
0,72,0.3,0.4,8.1,19.25
0,68,0.3,1.1,8.4,22.8
0,65,0.5,1.7,8.2,27.7
0,78,1.1,3.3,8.3,28.6
1,82,1.6,5,7.1,29.85
